Date,AEP,AES,CMS,CNP,D,DUK,ED,EIX,ES,ETR,EXC,FE,NEE,NI,NRG,PCG,PEG,PPL,SO,SRE,VST,XEL
2025-01-27,99.1738052368164,10.77805233001709,65.1937484741211,32.106414794921875,53.19377136230469,108.68891906738281,91.72456359863281,54.32521438598633,55.56605911254883,76.62936401367188,39.272342681884766,39.23569107055664,71.59666442871094,35.379302978515625,96.18019104003906,16.159618377685547,79.5250244140625,32.45771408081055,83.69908905029297,79.5460205078125,136.33323669433594,65.84138488769531
2025-01-28,96.63236999511719,10.37293529510498,63.66069412231445,31.549827575683594,52.792884826660156,107.42465209960938,90.27460479736328,52.79161071777344,55.050758361816406,75.491455078125,38.4135627746582,38.57344055175781,68.40617370605469,35.41819381713867,99.51477813720703,15.832259178161621,79.18595123291016,31.808752059936523,80.8349380493164,79.15868377685547,148.82481384277344,64.3306884765625
2025-01-29,94.748046875,10.504834175109863,63.81593322753906,31.54006004333496,52.59244155883789,106.75874328613281,89.48194885253906,52.49994659423828,54.65951919555664,77.06702423095703,38.181983947753906,38.07435989379883,68.7455825805664,35.632144927978516,99.21881103515625,15.663620948791504,79.14720153808594,31.702205657958984,80.14793395996094,79.38140106201172,154.36447143554688,63.9820671081543
2025-01-30,94.72870635986328,10.617892265319824,64.23316192626953,32.106414794921875,53.27013397216797,108.34149932861328,90.72891998291016,50.86284637451172,54.793113708496094,78.95381927490234,38.61619567871094,38.12234878540039,69.1431884765625,36.68244171142578,103.58928680419922,15.564419746398926,81.21065521240234,32.41897201538086,82.179931640625,80.6498794555664,175.339599609375,64.7470932006836
2025-01-31,95.04759979248047,10.527924537658691,64.03911590576172,31.803707122802734,53.060142517089844,108.08091735839844,90.61292266845703,50.806396484375,55.04121780395508,78.85657501220703,38.59689712524414,38.19913101196289,69.39532470703125,36.27398681640625,101.06368255615234,15.524740219116211,80.92971801757812,32.544883728027344,81.23165893554688,80.3012924194336,167.11463928222656,65.07635498046875
2025-02-03,96.01393127441406,10.250370025634766,64.50485229492188,31.745115280151367,53.756919860839844,109.24867248535156,92.43021392822266,49.338653564453125,55.82370376586914,79.79024505615234,39.14690399169922,38.391090393066406,68.90074157714844,36.82271194458008,101.73744201660156,15.038662910461426,80.86190795898438,32.748294830322266,81.25101470947266,79.97205352783203,167.61192321777344,65.60897064208984
2025-02-04,94.5837631225586,10.154661178588867,64.21376037597656,31.393590927124023,51.50431823730469,108.50556182861328,91.743896484375,48.66123962402344,55.375205993652344,79.42066192626953,39.11795425415039,38.343101501464844,67.78553771972656,36.636539459228516,100.72679901123047,15.058503150939941,80.7940902709961,32.5545768737793,80.50594329833984,78.84883117675781,167.4130096435547,65.19255828857422
2025-02-05,96.04290771484375,10.030240058898926,65.1258316040039,31.510766983032227,51.63794708251953,109.8856430053711,92.981201171875,49.338653564453125,55.8905029296875,80.23761749267578,39.60041809082031,38.60223388671875,67.1067123413086,37.3420295715332,101.93560791015625,15.614020347595215,81.47221374511719,32.85483932495117,81.15424346923828,79.6912612915039,170.67514038085938,65.80265045166016
2025-02-06,96.7966537475586,10.355648040771484,66.29988861083984,31.6767635345459,51.905208587646484,110.52259826660156,92.23686981201172,48.12495040893555,56.24357604980469,80.5196762084961,39.6776123046875,38.5158576965332,67.17459869384766,37.420413970947266,102.36164855957031,15.475141525268555,81.30753326416016,33.038875579833984,81.07684326171875,79.47823333740234,168.95457458496094,64.99889373779297
2025-02-07,96.9705810546875,10.116377830505371,66.65888214111328,31.637710571289062,52.14383316040039,110.9761962890625,92.87486267089844,47.12763595581055,56.70161819458008,80.14037322998047,39.8609504699707,38.95723342895508,66.20484161376953,37.165653228759766,102.06441497802734,15.197381973266602,81.0265884399414,33.067928314208984,81.84126281738281,79.38140106201172,165.99078369140625,64.49531555175781
2025-02-10,98.3458480834961,10.288652420043945,67.12462615966797,31.618179321289062,52.792884826660156,111.56490325927734,93.47418212890625,47.20290756225586,57.7226676940918,80.14037322998047,40.3337516784668,38.66621398925781,67.5915756225586,37.3420295715332,104.21449279785156,15.524740219116211,81.2687759399414,33.15510559082031,82.74114990234375,79.6041030883789,167.47267150878906,64.76647186279297
2025-02-11,99.36997985839844,9.790968894958496,67.3865966796875,31.64747428894043,53.174678802490234,112.61685180664062,93.0971908569336,47.805057525634766,58.648284912109375,80.35589599609375,40.87411880493164,39.228843688964844,68.20252990722656,37.65557861328125,103.69927215576172,15.65369987487793,81.15252685546875,33.435997009277344,83.65071105957031,80.78543853759766,166.69692993164062,65.0666732788086
2025-02-12,99.82839965820312,9.656977653503418,67.483642578125,31.813474655151367,53.384666442871094,112.30803680419922,91.41523742675781,49.5644645690918,56.98789596557617,81.1396713256836,41.385520935058594,38.80202102661133,67.18429565429688,38.01811981201172,101.71763610839844,15.901700019836426,81.18159484863281,33.435997009277344,83.99905395507812,80.3012924194336,165.70237731933594,65.27003479003906
2025-02-13,98.50190734863281,9.704832077026367,67.74562072753906,32.64347457885742,54.12916946411133,109.97249603271484,92.46888732910156,48.47306823730469,59.64071273803711,81.56095123291016,41.46271896362305,39.05423355102539,66.52485656738281,38.802005767822266,105.27466583251953,15.723139762878418,81.25909423828125,33.32945251464844,83.97001647949219,81.20181274414062,164.74758911132812,66.23843383789062
2025-02-14,99.32122039794922,9.503844261169434,67.28893280029297,32.62394714355469,53.060142517089844,108.7013931274414,91.75355529785156,47.09941482543945,58.724632263183594,80.81636810302734,41.346923828125,38.80202102661133,66.00119018554688,38.88039016723633,106.61227416992188,15.167621612548828,81.084716796875,32.670799255371094,82.80887603759766,81.43419647216797,166.7466583251953,66.44178771972656
2025-02-18,99.68209838867188,9.848393440246582,68.0028076171875,33.0145378112793,53.0792350769043,108.00983428955078,92.56553649902344,48.266075134277344,58.69599914550781,85.62675476074219,41.202186584472656,39.41315460205078,66.42788696289062,39.0567626953125,110.88272094726562,15.296581268310547,82.28597259521484,33.12604904174805,83.8139877319336,81.93771362304688,168.35781860351562,66.37401580810547
2025-02-19,100.55016326904297,9.953672409057617,68.59931945800781,33.28794860839844,53.13650131225586,108.88645935058594,92.90689849853516,49.31983947753906,59.83156204223633,85.54837036132812,41.1539421081543,39.44225311279297,66.970947265625,39.29192352294922,111.37812805175781,15.534660339355469,83.11910247802734,33.31007766723633,84.38973236083984,82.6348876953125,168.42745971679688,66.88726043701172
2025-02-20,101.77912139892578,10.212085723876953,69.13715362548828,33.150352478027344,53.756919860839844,110.22087860107422,93.39454650878906,48.83059310913086,60.48045349121094,84.11799621582031,41.655696868896484,40.14069366455078,68.01827239990234,39.174339294433594,110.05043029785156,15.564419746398926,82.02440643310547,33.077613830566406,85.69734191894531,83.28365325927734,162.2910614013672,67.12935638427734
2025-02-21,102.73499298095703,10.135519981384277,69.9096908569336,33.70072937011719,54.816402435302734,112.54881286621094,95.83279418945312,49.084625244140625,60.470909118652344,83.36360931396484,41.867984771728516,41.023441314697266,69.41471862792969,39.26253128051758,104.9873275756836,15.862019538879395,81.33658599853516,33.629722595214844,86.26332092285156,84.33910369873047,149.62045288085938,67.7297592163086
